issn_input_cr,title_cr,publisher_cr,total_dois_cr
0377-7103,Eastern Africa Journal of Rural Development,African Journals Online ,38
1027-1775,NA,NA,NA
1684-4173,Eastern Africa Social Science Research Review,Project MUSE,217
1597-1260,Ebonyi Medical Journal,African Journals Online ,127
2006-7593,Edo Journal of Counselling,African Journals Online ,59
1687-1502,Egyptian Journal of Biochemistry and Molecular Biology,African Journals Online ,129
1110-6859,Egyptian Journal of Biology,African Journals Online ,37
1110-6379,Egyptian Journal of Biomedical Sciences,African Journals Online ,19
1110-6093,Egyptian Journal of Biotechnology,African Journals Online ,13
1687-2002,The Egyptian Journal of Hospital Medicine,Egypts Presidential Specialized Council for Education and Scientific Research,4597
2090-7125,The Egyptian Journal of Hospital Medicine,Egypts Presidential Specialized Council for Education and Scientific Research,4597
1110-8630,Egyptian Journal of Medical Human Genetics,Springer (Biomed Central Ltd.),493
1110-5593,Egyptian Journal of Medical Laboratory Sciences,African Journals Online ,20
1110-6867,Egyptian Journal of Natural History,African Journals Online ,13
2006-1838,EJOTMAS Ekpoma Journal of Theatre and Media Arts,African Journals Online ,84
2449-1179,EJOTMAS Ekpoma Journal of Theatre and Media Arts,African Journals Online ,84
0376-8902,English in Africa,African Journals Online ,290
2006-0459,NA,NA,NA
2705-3636,NA,NA,NA
2354-1814,NA,NA,NA
2682-5961,NA,NA,NA
1010-2728,Ergonomics SA,African Journals Online ,30
0376-4753,ESARBICA Journal Journal of the Eastern and Southern Africa Regional Branch of the International Council on Archives,African Journals Online ,139
0257-2605,NA,NA,NA
2415-2382,NA,NA,NA
1819-8678,Ethiopian Journal of Biological Sciences,African Journals Online ,43
2311-9772,Ethiopian Journal of Business and Economics (The),African Journals Online ,30
2410-2393,Ethiopian Journal of Business and Economics (The),African Journals Online ,30
0378-0813,Ethiopian Journal of Development Research,African Journals Online ,34
1993-3681,Ethiopian Journal of Economics,African Journals Online ,38
1998-8907,Ethiopian Journal of Education and Sciences,African Journals Online ,77
1998-0507,Ethiopian Journal of Environmental Studies and Management,African Journals Online ,655
1021-6790,Ethiopian Journal of Health Development,African Journals Online ,379
1029-1857,Ethiopian Journal of Health Sciences,African Journals Online ,746
1816-3378,Ethiopian Journal of Science and Technology,African Journals Online ,108
2312-6019,Ethiopian Journal of Science and Technology,African Journals Online ,108
1810-4487,Ethiopian Journal of the Social Sciences and Humanities,African Journals Online ,81
2520-582X,NA,NA,NA
1029-5933,Ethiopian Pharmaceutical Journal,African Journals Online ,198
1683-6324,Ethiopian Veterinary Journal,African Journals Online ,194
2221-5034,Ethiopian Veterinary Journal,African Journals Online ,194
2276-8386,Filosofia Theoretica Journal of African Philosophy Culture and Religions,African Journals Online ,165
2408-5987,Filosofia Theoretica Journal of African Philosophy Culture and Religions,African Journals Online ,165
2579-0625,FUOYE Journal of Engineering and Technology,"""Faculty of Engineering, Federal University Oye-Ekiti""",343
2579-0617,FUOYE Journal of Engineering and Technology,"""Faculty of Engineering, Federal University Oye-Ekiti""",343
1597-8826,FUTY Journal of the Environment,African Journals Online ,70
1596-9231,Gender and Behaviour,African Journals Online ,260
0855-0042,Ghana Journal of Agricultural Science,African Journals Online ,432
0855-6768,Ghana Journal of Development Studies,African Journals Online ,283
0855-1707,Ghana Journal of Forestry,African Journals Online ,42
0855-9414,Ghana Journal of Geography,African Journals Online ,48
2026-6596,Ghana Journal of Linguistics,African Journals Online ,74
0855-1448,Ghana Journal of Science,African Journals Online ,214
0855-3033,Ghana Library Journal,African Journals Online ,49
0016-9560,Ghana Medical Journal,African Journals Online ,256
0855-210X,Ghana Mining Journal,African Journals Online ,149
0794-1005,Global Approaches to Extension Practice A Journal of Agricultural Extension,African Journals Online ,151
1596-2903,Global Journal of Agricultural Sciences,African Journals Online ,360
1597-9857,Global Journal of Community Medicine,African Journals Online ,11
1596-6224,Global Journal of Educational Research,African Journals Online ,223
1596-292X,Global Journal of Engineering Research,African Journals Online ,134
1596-6194,Global Journal of Environmental Sciences,African Journals Online ,145
1596-6798,Global Journal of Geological Sciences,African Journals Online ,238
1596-6232,Global Journal of Humanities,African Journals Online ,51
1596-6208,Global Journal of Mathematical Sciences,African Journals Online ,145
1596-2911,Global Journal of Medical Sciences,African Journals Online ,98
1118-0579,Global Journal of Pure and Applied Sciences,African Journals Online ,1224
1596-6216,Global Journal of Social Sciences,African Journals Online ,203
2227-2178,NA,NA,NA
2305-3739,NA,NA,NA
1025-9848,Health SA Gesondheid,AOSIS,993
2071-9736,Health SA Gesondheid,AOSIS,993
1596-2407,Highland Medical Research Journal,African Journals Online ,128
0259-9422,HTS Teologiese Studies / Theological Studies,AOSIS,5205
2072-8050,HTS Teologiese Studies / Theological Studies,AOSIS,5205
1596-0749,Humanities Review Journal,African Journals Online ,91
0856-6739,Huria Journal of the Open University of Tanzania,African Journals Online ,9
2141-9744,NA,NA,NA
0794-4896,Ife Journal of Science,African Journals Online ,405
1117-1421,IFE PsychologIA,African Journals Online ,523
2141-7040,Ilorin Journal of Religious Studies,African Journals Online ,9
1821-7613,NA,NA,NA
1683-0296,Indilinga African Journal of Indigenous Knowledge Systems,African Journals Online ,105
2079-7222,Indo-Pacific Journal of Phenomenology,Informa UK (Taylor & Francis),340
1445-7377,Indo-Pacific Journal of Phenomenology,Informa UK (Taylor & Francis),340
2141-4297,Information Impact Journal of Information and Knowledge Management,African Journals Online ,159
2360-994X,Information Impact Journal of Information and Knowledge Management,African Journals Online ,159
1596-5422,Information Manager (The),African Journals Online ,36
1597-4316,Information Technologist (The),African Journals Online ,196
2077-2815,Inkanyiso Journal of Humanities and Social Sciences,African Journals Online ,33
1025-8892,Innovation,African Journals Online ,138
1595-9716,International Journal of Agriculture and Rural Development,African Journals Online ,195
0331-5428,NA,NA,NA
2315-5388,NA,NA,NA
2384-681X,NA,NA,NA
1991-8631,International Journal of Biological and Chemical Sciences,African Journals Online ,3091
1997-342X,NA,NA,NA
2315-6562,NA,NA,NA
2384-6828,NA,NA,NA
1597-9482,NA,NA,NA
2734-3316,NA,NA,NA
0795-0632,International Journal of Development and Policy Studies,African Journals Online ,47
1595-8485,NA,NA,NA
1119-7048,International Journal of Emotional Psychology and Sport Ethics,African Journals Online ,36
2141-2820,International Journal of Engineering Science and Technology,African Journals Online ,684
2141-2839,International Journal of Engineering Science and Technology,African Journals Online ,684
1596-9819,International Journal of Health Research,African Journals Online ,106
2315-537X,NA,NA,NA
2384-6836,NA,NA,NA
1596-3381,International Journal of Malaria and Tropical Diseases (IJMTD),African Journals Online ,10
2277-0941,International Journal of Medicine and Biomedical Research,Michael Joanna Publications,155
2315-5019,International Journal of Medicine and Biomedical Research,Michael Joanna Publications,155
1118-2601,Journal of College of Medicine,African Journals Online ,45
1737-7374,International Journal of Modern Anthropology,African Journals Online ,102
1737-8176,International Journal of Modern Anthropology,African Journals Online ,102
0794-4713,International Journal of Natural and Applied Sciences,African Journals Online ,289
2026-6081,NA,NA,NA
1597-913X,International Journal of Tropical Agriculture and Food Systems,African Journals Online ,156
1694-0423,Internet Journal of Medical Update - EJOURNAL,African Journals Online ,171
1012-2338,Italian Studies in Southern Africa/Studi d’Italianistica nell’Africa Australe,African Journals Online ,89
2225-7039,NA,NA,NA
2665-0789,NA,NA,NA
2591-7013,NA,NA,NA
1019-7788,JASSA Journal of Applied Science in Southern Africa,African Journals Online ,92
2006-0734,Jos Journal of Medicine,African Journals Online ,32
1727-8651,NA,NA,NA
2413-354X,NA,NA,NA
0851-4453,Journal des Sciences Pour l Ingénieur,African Journals Online ,87
0257-7062,Journal for Islamic Studies,African Journals Online ,75
0258-252X,Journal for Juridical Science,Sun Media Bloemfontein Pty Ltd,175
0259-9570,Journal for Language Teaching,African Journals Online ,356
1011-7601,Journal for the Study of Religion,Academy of Science of South Africa,210
2315-9987,NA,NA,NA
2449-108X,NA,NA,NA
1119-944X,Journal of Agricultural Extension,African Journals Online ,574
2408-6851,NA,NA,NA
1596-5511,Journal of Agricultural Research and Development,African Journals Online ,188
1597-1074,Journal of Agriculture and Food Sciences,African Journals Online ,219
1595-7470,Journal of Agriculture and Social Research (JASR),African Journals Online ,201
1597-0906,Journal of Agriculture Forestry and the Social Sciences,African Journals Online ,608
1561-7645,Journal of Agriculture Science and Technology,African Journals Online ,86
1997-5902,Journal of Applied Biosciences,"""Elewa Biosciences, F.a.C.T Ltd (K)""",1011
1117-2894,Journal of Applied Chemistry and Agricultural Research,African Journals Online ,45
0855-2215,Journal of Applied Science and Technology,African Journals Online ,199
1596-3233,Journal of Applied Science Engineering and Technology,African Journals Online ,82
1119-8362,Journal of Applied Sciences and Environmental Management,African Journals Online ,2337
2659-1502,NA,NA,NA
0189-8779,Journal of Aquatic Sciences,African Journals Online ,314
2278-960X,Journal of Basic and Clinical Reproductive Sciences,Medknow Publications,111
2320-2041,NA,NA,NA
1597-0043,Journal of Biomedical Investigation,African Journals Online ,95
0856-0501,Journal of Building and Land Development,African Journals Online ,14
2077-3420,Journal of Business and Administrative Studies,African Journals Online ,13
0148-2963,Journal of Business Research,Elsevier ,9128
1728-0583,Journal of Child and Adolescent Mental Health,National Inquiry Services Center (NISC),390
1728-0591,Journal of Child and Adolescent Mental Health,National Inquiry Services Center (NISC),390
1729-5769,Journal of Civil Engineering Research and Practice,African Journals Online ,102
1562-6121,Journal of Civil Engineering JKUAT,African Journals Online ,20
0794-7410,Journal of Community Medicine and Primary Health Care,African Journals Online ,70
2006-5523,Journal of Computer Science and Its Application,African Journals Online ,95
0378-5254,Journal of Family Ecology and Consumer Sciences / Tydskrif vir Gesinsekologie en Verbruikerswetenskappe,African Journals Online ,119
1595-0956,Journal of Cultural Studies,African Journals Online ,114
2305-7432,Journal of Development and Communication Studies,African Journals Online ,55
0012-8317,NA,NA,NA
1026-1613,Journal of East African Natural History,BioOne (East African Natural History Society),66
1119-9210,NA,NA,NA
003-8-2469,NA,NA,NA
1595-5125,Journal of Environmental Extension,African Journals Online ,117
1560-1560,Journal of Ethiopian Medical Practice,African Journals Online ,45
1596-2393,Journal of Experimental and Clinical Anatomy,Medknow Publications,213
1028-6098,Journal of Food Technology in Africa,African Journals Online ,98
1112-9867,Journal of Fundamental and Applied Sciences,African Journals Online ,1072
1597-3778,Journal of History and Diplomatic Studies,African Journals Online ,38
1016-0728,Journal of Humanities,African Journals Online ,32
1998-1279,Journal of Language Technology & Entrepreneurship in Africa,African Journals Online ,94
1595-8922,Journal of Librarianship and Information Science in Africa,African Journals Online ,8
2026-6294,Journal of Medical and Biomedical Sciences,African Journals Online ,74
1116-1043,Journal of Medical Laboratory Science,African Journals Online ,112
1596-6941,Journal of Medicine and Biomedical Research,African Journals Online ,89
1119-3999,Journal of Medicine and Medical Sciences,African Journals Online ,9
2276-7096,Journal of Medicine in the Tropics,Medknow Publications,336
2006-7003,NA,NA,NA
1116-2775,Journal of Mining and Geology,African Journals Online ,132
1596-3497,Journal of Modeling Design and Management of Engineering Systems,African Journals Online ,34
1012-8867,NA,NA,NA
1596-8499,Journal of Pharmaceutical and Allied Sciences,African Journals Online ,133
0189-8442,Journal of Pharmacy & Bioresources,African Journals Online ,371
0855-6660,Journal of Philosophy and Culture,African Journals Online ,34
1118-1028,Journal of Phytomedicine and Therapeutics,African Journals Online ,56
1433-0237,Journal of Psychology in Africa,Informa UK (Taylor & Francis),1411
2006-5442,Journal of Religion and Human Relations,African Journals Online ,16
2141-1778,NA,NA,NA
1596-8308,Journal of Research in National Development,African Journals Online ,228
2070-1748,Journal of Science and Sustainable Development,African Journals Online ,64
0855-0395,Journal of Science and Technology (Ghana),African Journals Online ,513
1027-4928,Journal of Science and Technology (Zambia),African Journals Online ,41
1012-1080,Journal of Social Development in Africa,African Journals Online ,127
2507-7783,NA,NA,NA
2591-6955,NA,NA,NA
2307-6267,Journal of Student Affairs in Africa,Journal of Student Affairs in Africa,211
2006-8808,Journal of Surgical Technique and Case Report,CLOCKSS Archive,164
2467-8406,Journal of Sustainable Development Law and Policy (The),African Journals Online ,132
2467-8392,Journal of Sustainable Development Law and Policy (The),African Journals Online ,132
1118-5570,Journal of Technology and Education in Nigeria,African Journals Online ,123
1597-0597,NA,NA,NA
2617-3948,Journal of the Cameroon Academy of Sciences,African Journals Online ,63
1998-6017,Journal of the Eritrean Medical Association,African Journals Online ,61
0855-3823,Journal of the Ghana Science Association,African Journals Online ,309
1812-1004,Journal of Musical Arts in Africa,National Inquiry Services Center (NISC),225
2070-626X,Journal of Musical Arts in Africa,National Inquiry Services Center (NISC),225
1116-4336,Journal of the Nigerian Association of Mathematical Physics,African Journals Online ,355
1119-1716,Journal of the Nigerian Infection Control Association,African Journals Online ,19
0795-0039,Journal of the Nigerian Optometric Association,African Journals Online ,75
0331-3727,Journal of the Obafemi Awolowo University Medical Student s Association (IFEMED),African Journals Online ,45
1012-2796,Journal of the South African Society of Archivists,African Journals Online ,17
1607-4106,Journal of Tropical Microbiology and Biotechnology,African Journals Online ,68
1737-7803,Journal Tunisien d ORL et de Chirurgie Cervico-Faciale,African Journals Online ,128
2006-4772,Kanem Journal of Medical Sciences,University of Maiduguri - College of Medical Sciences,59
2714-2426,Kanem Journal of Medical Sciences,University of Maiduguri - College of Medical Sciences,59
2072-7992,KCA Journal of Business Management,African Journals Online ,24
2071-2162,KCA Journal of Business Management,African Journals Online ,24
0256-5161,Kenya Veterinarian,African Journals Online ,135
0856-552X,Kioo cha Lugha,African Journals Online ,23
0023-1886,Kiswahili,African Journals Online ,11
1596-5031,Lagos Historical Review,African Journals Online ,145
1596-9487,Lagos Journal of Library and Information Science,African Journals Online ,56
0075-7640,Lagos Notes and Records,African Journals Online ,56
2077-4907,Law Democracy & Development,Academy of Science of South Africa,173
1118-3713,LBS Management Review,African Journals Online ,48
0855-1502,Legon Journal of the Humanities,African Journals Online ,100
2458-746X,Legon Journal of the Humanities,African Journals Online ,100
2437-0568,NA,NA,NA
1012-0009,NA,NA,NA
1684-4904,Lexikos,Stellenbosch University - Lexikos,343
2224-0039,NA,NA,NA
1993-2820,Libyan Journal of Medicine,Informa UK (Taylor & Francis),621
1819-6357,Libyan Journal of Medicine,Informa UK (Taylor & Francis),621
1813-2227,Lwati A Journal of Contemporary Research,African Journals Online ,307
1662-2510,Madagascar Conservation & Development,African Journals Online ,180
1816-6822,Makerere Journal of Higher Education,African Journals Online ,167
2707-6113,NA,NA,NA
1019-7079,Malawi Journal of Science and Technology,African Journals Online ,12
1995-7262,Malawi Medical Journal,African Journals Online ,579
2676-184X,Management & Economics Research Journal,"""Management & Economics Research Journal, Ziane Achour University of Djelfa""",93
2710-8856,Management & Economics Research Journal,"""Management & Economics Research Journal, Ziane Achour University of Djelfa""",93
1816-7659,Marang Journal of Language and Literature,African Journals Online ,58
1119-409X,Mary Slessor Journal of Medicine,African Journals Online ,109
0855-4706,Mathematics Connection,African Journals Online ,65
0047-651X,Medical Journal of Zambia,African Journals Online ,33
2346-7126,NA,NA,NA
2682-4132,NA,NA,NA
2682-4140,Microbes and Infectious Diseases,Egypts Presidential Specialized Council for Education and Scientific Research,205
1998-9881,Mizan Law Review,African Journals Online ,192
2309-902X,NA,NA,NA
2073-073X,Momona Ethiopian Journal of Science,African Journals Online ,212
2220-184X,NA,NA,NA
1595-4153,Moor Journal of Agricultural Research,African Journals Online ,105
1607-0011,Mtafiti Mwafrika (African Researcher),African Journals Online ,19
1607-2820,NA,NA,NA
1687-1219,New Egyptian Journal of Microbiology,African Journals Online ,24
0300-368X,Nigeria Agricultural Journal,African Journals Online ,237
0794-067X,Nigeria Journal of Business Administration,African Journals Online ,15
1596-0862,Nigeria Journal of Pure and Applied Physics,African Journals Online ,61
0189-1006,Nigerian Dental Journal,African Journals Online ,67
2251-0362,NA,NA,NA
0189-7241,Nigerian Food Journal,Elsevier ,428
1597-4292,NA,NA,NA
1597-7889,Nigerian Hospital Practice,African Journals Online ,116
0331-2062,Nigerian Journal of Animal Production,Nigerian Society for Animal Production (NSAP),2226
1119-4308,Tropical Journal of Animal Science,African Journals Online ,267
0794-5698,Nigerian Journal of Basic and Applied Sciences,African Journals Online ,328
0189-1731,Nigerian Journal of Biotechnology,African Journals Online ,236
1119-0221,Nigerian Journal of Chemical Research,African Journals Online ,84
1118-4035,Nigerian Journal of Clinical and Counselling Psychology,African Journals Online ,28
2141-1123,Nigerian Journal of Clinical Medicine,African Journals Online ,78
1119-3077,Nigerian Journal of Clinical Practice,Medknow Publications,1526
2636-4956,Nigerian Journal of Dental Research,African Journals Online ,23
2714-4089,Nigerian Journal of Dental Research,African Journals Online ,23
2141-9884,NA,NA,NA
1597-443X,Nigerian Journal of Fisheries,African Journals Online ,31
2251-0079,NIGERIAN JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,Medknow Publications,23
1118-4647,Nigerian Journal of General Practice,Medknow Publications,101
0189-9686,Nigerian Journal of Genetics,Elsevier ,62
0794-0831,Nigerian Journal of Guidance and Counselling,African Journals Online ,183
1595-8272,Nigerian Journal of Health and Biomedical Sciences,African Journals Online ,252
1118-2733,Nigerian Journal of Horticultural Science,African Journals Online ,106
1115-2613,Nigerian Journal of Medicine,Medknow Publications,895
2667-0526,NA,NA,NA
1118-6267,Nigerian Journal of Natural Products and Medicine,African Journals Online ,338
0189-0913,Nigerian Journal of Nutritional Sciences,African Journals Online ,57
0189-9171,Nigerian Journal of Ophthalmology,Medknow Publications,341
2468-8363,NA,NA,NA
1596-4582,Nigerian Journal of Orthopaedics and Trauma,Medknow Publications,231
0302-4660,Nigerian Journal of Paediatrics,African Journals Online ,520
1117-4145,Nigerian Journal of Parasitology,African Journals Online ,491
0189-8434,Nigerian Journal of Pharmaceutical Research,African Journals Online ,102
1595-0611,Nigerian Journal of Physics,African Journals Online ,197
0794-859X,Nigerian Journal of Physiological Sciences,African Journals Online ,134
0794-9316,Nigerian Journal of Plastic Surgery,Medknow Publications,132
2006-8530,Nigerian Journal of Postgraduate Medicine,African Journals Online ,15
0189-1774,Nigerian Journal of Psychiatry,African Journals Online ,86
1595-6121,Nigerian Journal of Soil and Environmental Research,African Journals Online ,44
1117-6806,Nigerian Journal of Surgery,Medknow Publications,224
1595-1103,Nigerian Journal of Surgical Research,CLOCKSS Archive,268
1116-5898,Nigerian Journal of Surgical Sciences,Medknow Publications,110
0189-9546,Nigerian Journal of Technological Development,African Journals Online ,159
2437-2110,Nigerian Journal of Technological Development,African Journals Online ,159
