issn_input,issn_l,display_name,publisher,works_count,created_date
2410-2393,2311-9772,The Ethiopian journal of business and economics,African Journals Online,25,2022-02-03
0378-0813,0378-0813,Ethiopian journal of development research,African Journals Online,0,2022-02-03
1993-3681,1993-3681,Ethiopian Journal of Economics,African Journals Online,236,2017-10-27
1998-8907,1998-8907,Ethiopian Journal of Education and Sciences,African Journals Online,202,2017-10-27
1998-0507,1998-0507,Ethiopian Journal of Environmental Studies and Management,African Journals Online,650,2017-10-27
1021-6790,1021-6790,Ethiopian Journal of Health Development,African Journals Online,1290,2016-06-24
1029-1857,1029-1857,Ethiopian journal of health sciences,African Journals Online,1135,2017-10-27
1816-3378,1816-3378,The Ethiopian journal of science and technology,African Journals Online,102,2022-02-03
2312-6019,1816-3378,The Ethiopian journal of science and technology,African Journals Online,102,2022-02-03
1810-4487,1810-4487,Ethiopian journal of the social sciences and humanities,African Journals Online,151,2017-10-27
2520-582X,1810-4487,Ethiopian journal of the social sciences and humanities,African Journals Online,151,2017-10-27
1029-5933,1029-5933,Ethiopian Pharmaceutical Journal,African Journals Online,205,2017-10-27
1683-6324,1683-6324,Ethiopian Veterinary Journal,African Journals Online,265,2017-10-27
2221-5034,1683-6324,Ethiopian Veterinary Journal,African Journals Online,265,2017-10-27
2276-8386,2276-8386,Filosofia Theoretica,African Journals Online,0,2022-02-03
2408-5987,2408-5987,Filosofia Theoretica Online,African Journals Online,157,2022-02-03
2579-0625,2579-0617,FUOYE Journal of Engineering and Technology,"Faculty of Engineering, Federal University Oye-Ekiti",19,2022-02-03
2579-0617,2579-0617,FUOYE Journal of Engineering and Technology,"Faculty of Engineering, Federal University Oye-Ekiti",19,2022-02-03
1597-8826,1597-8826,Futy Journal of the Environment,African Journals Online,70,2022-02-03
1596-9231,1596-9231,Gender and behaviour,African Journals Online,1320,2017-10-27
0855-0042,0855-0042,Ghana journal of agricultural science,African Journals Online,581,2017-10-27
0855-6768,0855-6768,Ghana Journal of Development Studies,African Journals Online,299,2017-10-27
0855-1707,0855-1707,Ghana journal of foresty,African Journals Online,42,2022-02-03
0855-9414,0855-9414,Ghana Journal of Geography,African Journals Online,47,2022-02-03
2026-6596,2026-6596,Ghana journal of linguistics,African Journals Online,66,2022-02-03
0855-1448,0855-1448,Ghana Journal of Science,African Journals Online,0,2022-02-03
0855-3033,0855-3033,Ghana Library Journal,African Journals Online,142,2017-10-27
0016-9560,0016-9560,Ghana Medical Journal,African Journals Online,1,2022-02-03
0855-210X,0855-210X,Ghana Mining Journal,African Journals Online,191,2017-10-27
0794-1005,0794-1005,Global Approaches to Extension Practice: A Journal of Agricultural Extension,African Journals Online,207,2017-10-27
1596-2903,1596-2903,Global Journal of Agricultural Sciences,African Journals Online,401,2017-10-27
1597-9857,1597-9857,Global Journal of Community Medicine,African Journals Online,0,2022-02-03
1596-6224,1596-6224,Global Journal of Educational Research,African Journals Online,247,2017-10-27
1596-292X,1596-292X,Global Journal of Engineering Research,African Journals Online,154,2017-10-27
1596-6194,1596-6194,Global Journal of Environmental Sciences,African Journals Online,171,2017-10-27
1596-6798,1596-6798,Global Journal of Geological Sciences,African Journals Online,268,2017-10-27
1596-6232,1596-6232,Global journal of humaniies,African Journals Online,50,2022-02-03
1596-6208,1596-6208,Global Journal of Mathematical Sciences,African Journals Online,152,2017-10-27
1596-2911,1596-2911,Global Journal of Medical Sciences,African Journals Online,111,2017-10-27
1118-0579,1118-0579,Global Journal of Pure and Applied Sciences,African Journals Online,1576,2017-10-27
1596-6216,1596-6216,Global Journal of Social Sciences,African Journals Online,301,2017-10-27
2227-2178,NA,NA,NA,NA,NA
2305-3739,NA,NA,NA,NA,NA
1025-9848,1025-9848,Health Sa Gesondheid,AOSIS,890,2016-06-24
2071-9736,1025-9848,Health Sa Gesondheid,AOSIS,890,2016-06-24
1596-2407,1596-2407,Highland Medical Research Journal,African Journals Online,351,2017-10-27
0259-9422,0259-9422,Theological Studies/Teologiese Studies,AOSIS,52,2016-06-24
2072-8050,0259-9422,Theological Studies/Teologiese Studies,AOSIS,52,2016-06-24
1596-0749,1596-0749,Humanities Review Journal,African Journals Online,90,2022-02-03
0856-6739,0856-6739,Huria: Journal of the Open University of Tanzania,African Journals Online,284,2017-10-27
2141-9744,NA,NA,NA,NA,NA
0794-4896,0794-4896,Ife Journal of Science,African Journals Online,738,2017-10-27
1117-1421,1117-1421,IFE Psychologia: An International Journal,African Journals Online,885,2017-10-27
2141-7040,2141-7040,Ilorin Journal of Religious Studies,African Journals Online,9,2022-02-03
1821-7613,NA,NA,NA,NA,NA
1683-0296,1683-0296,Indilinga: African Journal of Indigenous Knowledge Systems,African Journals Online,413,2017-10-27
2079-7222,1445-7377,The Indo-Pacific journal of phenomenology,Taylor & Francis,8,2022-02-03
1445-7377,1445-7377,The Indo-Pacific journal of phenomenology,Taylor & Francis,8,2022-02-03
2141-4297,2141-4297,Information Impact Journal of Information and Knowledge Management,African Journals Online,0,2022-02-03
2360-994X,2360-994X,Information Impact: Journal of Information and Knowledge Management,African Journals Online,249,2017-10-27
1596-5422,1596-5422,The information Manager,African Journals Online,0,2022-02-03
1597-4316,1597-4316,Information Technologist (The),African Journals Online,196,2022-02-03
2077-2815,2077-2815,Inkanyiso,African Journals Online,0,2022-02-03
1025-8892,1025-8892,Innovation (Pietermaritzburg),African Journals Online,0,2022-02-03
1595-9716,1595-9716,International Journal of Agriculture and Rural Development,African Journals Online,223,2017-10-27
0331-5428,NA,NA,NA,NA,NA
2315-5388,NA,NA,NA,NA,NA
2384-681X,NA,NA,NA,NA,NA
1991-8631,1991-8631,International Journal of Biological and Chemical Sciences,African Journals Online,3112,2017-10-27
1997-342X,1991-8631,International Journal of Biological and Chemical Sciences,African Journals Online,3112,2017-10-27
2315-6562,NA,NA,NA,NA,NA
2384-6828,NA,NA,NA,NA,NA
1597-9482,NA,NA,NA,NA,NA
2734-3316,NA,NA,NA,NA,NA
0795-0632,0795-0632,International Journal of Development and Policy Studies,African Journals Online,47,2022-02-03
1595-8485,NA,NA,NA,NA,NA
1119-7048,1119-7048,International Journal of Emotional Psychology and Sport Ethics,African Journals Online,36,2022-02-03
2141-2820,2141-2820,International journal of engineering science and technology,African Journals Online,893,2017-10-27
2141-2839,2141-2839,"International Journal of Engineering, Science and Technology &b. Lagos",African Journals Online,2,2022-02-03
1596-9819,1596-9819,International Journal of Health Research,African Journals Online,120,2017-10-27
2315-537X,NA,NA,NA,NA,NA
2384-6836,NA,NA,NA,NA,NA
1596-3381,1596-3381,International Journal of Malaria and Tropical Diseases (IJMTD),African Journals Online,10,2022-02-03
2277-0941,2315-5019,International Journal of Medicine and Biomedical Research,Michael Joanna Publications,166,2017-10-27
2315-5019,2315-5019,International Journal of Medicine and Biomedical Research,Michael Joanna Publications,166,2017-10-27
1118-2601,1118-2601,International Journal of Medicine and Health Development,African Journals Online,565,2017-10-27
1737-7374,1737-7374,International Journal of Modern Anthropology,African Journals Online,95,2017-07-31
1737-8176,1737-7374,International Journal of Modern Anthropology,African Journals Online,95,2017-07-31
0794-4713,0794-4713,International Journal of Natural and Applied Sciences,African Journals Online,485,2017-10-27
2026-6081,NA,NA,NA,NA,NA
1597-913X,1597-913X,International Journal of Tropical Agriculture and Food Systems,African Journals Online,279,2017-10-27
1694-0423,1694-0423,Internet Journal of Medical Update,African Journals Online,0,2022-02-03
1012-2338,1012-2338,Studi d'italianistica nell'Africa Australe,African Journals Online,87,2022-02-03
2225-7039,1012-2338,Studi d'italianistica nell'Africa Australe,African Journals Online,87,2022-02-03
2665-0789,NA,NA,NA,NA,NA
2591-7013,NA,NA,NA,NA,NA
1019-7788,1019-7788,JASSA. Journal of applied science in Southern Africa,African Journals Online,0,2022-02-03
2006-0734,2006-0734,Jos Journal of Medicine,African Journals Online,222,2017-10-27
1727-8651,NA,NA,NA,NA,NA
2413-354X,NA,NA,NA,NA,NA
0851-4453,0851-4453,L'Ecran marocain,NA,86,2022-02-03
0257-7062,0257-7062,Journal for Islamic studies,African Journals Online,0,2022-02-03
0258-252X,0258-252X,Journal of juridical science,AFRICAN SUN MeDIA,402,2017-10-27
0259-9570,0259-9570,Journal for Language Teaching,African Journals Online,407,2017-10-27
1011-7601,1011-7601,Journal for the Study of Religion,Academy of Science of South Africa,381,2017-10-27
2315-9987,NA,NA,NA,NA,NA
2449-108X,NA,NA,NA,NA,NA
1119-944X,1119-944X,Journal of Agricultural Extension,African Journals Online,0,2022-02-03
2408-6851,1119-944X,Journal of Agricultural Extension,African Journals Online,0,2022-02-03
1596-5511,1596-5511,Journal of Agricultural Research and Development,African Journals Online,333,2017-10-27
1597-1074,1597-1074,Journal of Agriculture and Food Sciences,African Journals Online,219,2017-07-31
1595-7470,1595-7470,Journal of Agriculture and Social Research,African Journals Online,0,2022-02-03
1597-0906,1597-0906,"Journal of Agriculture, Forestry and the Social Sciences",African Journals Online,632,2017-10-27
1561-7645,1561-7645,Journal of agriculture science and technology,African Journals Online,0,2022-02-03
1997-5902,1997-5902,Journal of Applied Biosciences,"Elewa Biosciences, F.a.C.T Ltd (K)",1272,2017-10-27
1117-2894,1117-2894,Journal of Applied Chemistry and Agricultural Research,African Journals Online,45,2022-02-03
0855-2215,0855-2215,Journal of Applied Science and Technology,African Journals Online,458,2017-10-27
1596-3233,1596-3233,"Journal of Applied Science, Engineering and Technology",African Journals Online,156,2017-10-27
1119-8362,1119-8362,Journal of Applied Sciences and Environmental Management,African Journals Online,2470,2017-10-27
2659-1502,2659-1502,Journal of applied science and environmental management,NA,67,2022-02-03
0189-8779,0189-8779,Journal of Aquatic Sciences,African Journals Online,559,2017-10-27
2278-960X,2278-960X,Journal of Basic and Clinical Reproductive Sciences,Medknow Publications,174,2017-10-27
2320-2041,2278-960X,Journal of Basic and Clinical Reproductive Sciences,Medknow Publications,174,2017-10-27
1597-0043,1597-0043,Journal of Biomedical Investigation,African Journals Online,94,2022-02-03
0856-0501,0856-0501,Journal of building and land development,African Journals Online,14,2022-02-03
2077-3420,2077-3420,Journal of business and administrative studies,African Journals Online,13,2022-02-03
0148-2963,0148-2963,Journal of Business Research,Elsevier,9390,2016-06-24
1728-0583,1728-0583,Journal of Child & Adolescent Mental Health,Taylor & Francis,493,2016-06-24
1728-0591,1728-0583,Journal of Child & Adolescent Mental Health,Taylor & Francis,493,2016-06-24
1729-5769,1729-5769,Journal of Civil Engineering Research and Practice,African Journals Online,105,2017-10-27
1562-6121,1562-6121,Journal of civil engineering,African Journals Online,20,2022-02-03
0794-7410,0794-7410,Journal of Community Medicine and Primary Health Care,African Journals Online,239,2017-10-27
2006-5523,2006-5523,Journal of Computer Science and Its Application,African Journals Online,94,2022-02-03
0378-5254,0378-5254,Journal of dietetics and home economics,African Journals Online,0,2022-02-03
1595-0956,1595-0956,Journal of Cultural Studies,African Journals Online,0,2022-02-03
2305-7432,2305-7432,Journal of development and communication studies,African Journals Online,0,2022-02-03
0012-8317,0012-8317,Journal of the East Africa Natural History Society and National Museum,NA,0,2022-02-03
1026-1613,1026-1613,Journal of East African Natural History,BioOne (East African Natural History Society),336,2016-06-24
1119-9210,NA,NA,NA,NA,NA
003-8-2469,NA,NA,NA,NA,NA
1595-5125,1595-5125,Journal of Environmental Extension,African Journals Online,155,2017-10-27
1560-1560,0256-8888,Registre de l'ISDS,NA,43,2022-02-03
1596-2393,1596-2393,Journal of Experimental and Clinical Anatomy,Medknow Publications,323,2017-10-27
1028-6098,1028-6098,The journal of food technology in Africa,African Journals Online,0,2022-02-03
1112-9867,1112-9867,Journal of Fundamental and Applied Sciences,African Journals Online,2799,2017-07-31
1597-3778,1597-3778,Journal of History and Diplomatic Studies,African Journals Online,38,2022-02-03
1016-0728,1016-0728,Journal of humanities (Zomba),African Journals Online,32,2022-02-03
1998-1279,1998-1279,"Journal of Language, Technology & Entrepreneurship in Africa",African Journals Online,218,2017-10-27
1595-8922,1595-8922,Journal of Librarianship and Information Science in Africa,African Journals Online,8,2022-02-03
2026-6294,2026-6294,Journal of medical and biomedical sciences,African Journals Online,72,2022-02-03
1116-1043,1116-1043,Journal of Medical Laboratory Science,African Journals Online,150,2017-10-27
1596-6941,1596-6941,Journal of Medicine and Biomedical Research,African Journals Online,251,2017-10-27
1119-3999,1119-3999,Journal of Medicine and Medical Sciences,African Journals Online,9,2022-02-03
2276-7096,2276-7096,Journal of medicine in the tropics,Medknow Publications,391,2017-10-27
2006-7003,NA,NA,NA,NA,NA
1116-2775,1116-2775,Journal of Mining and Geology,African Journals Online,154,2017-10-27
1596-3497,1596-3497,Journal of Modeling Design and Management of Engineering Systems,African Journals Online,34,2022-02-03
1012-8867,NA,NA,NA,NA,NA
1596-8499,1596-8499,Journal of Pharmaceutical and Allied Sciences,African Journals Online,345,2017-10-27
0189-8442,0189-8442,Journal of Pharmacy & Bioresources,African Journals Online,370,2017-10-27
